# DG1: the direct proposal-level guard benchmark (no model in the loop)
# generator: code/scripts/direct_guard_benchmark.py (l1-direct-guard-1)
# sources:
#   code/suite/v0.2/suite.jsonl              sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
#   code/schema/adjustments.schema.json      sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
#   code/l1guard/ (guard.py, config.py, findings.py, lb2.py, verdict.py)
#   analysis/ladder/ladder_anchors.json      (self-check target, ORACLE+G_CERT)
#   analysis/T1_e1_main.csv                  (LLM-mediated comparison)
# canonical proposal per class: benign=gold_ops, V1=literal_ops, V2=literal_ops, V3=gold_ops, V4=trap_ops, V5=gold_ops, V6=forbidden_ops
#   V5 has no representable proposal (gold/literal/trap/forbidden all empty, by construction)
# guard: lb_tier=tier2, tau=0.20, rule=atc, seed=0; three published configs
# run: 5522 guard calls, 4 worker(s), cores 0-3, 159.56 s wall
item_id,primary_class,subclass,twin_id,stratum,instance_id,reading,proposal_field,n_proposal_ops,proposal_empty,config,terminal,stage_reached,refused,refused_stage,blocking_codes,info_codes,infra_error,certified_gap,obj_bh,lb_bh,cert_tier,expected_violation,expected_stage,v1_decodability,quality_visible_candidate,badness
BEN-0006,benign,dangling_order_id,V1-0006,c09_storm2_w80,c09_storm2_w80_u100_0001,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.036494,655.1732,632.1052,tier2,,,,,0.0
BEN-0007,benign,dangling_order_id,V1-0007,c09_storm2_w80,c09_storm2_w80_u100_0006,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0007,benign,dangling_order_id,V1-0007,c09_storm2_w80,c09_storm2_w80_u100_0006,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0007,benign,dangling_order_id,V1-0007,c09_storm2_w80,c09_storm2_w80_u100_0006,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.011555,659.4936,651.96,tier2,,,,,0.0
BEN-0007,benign,dangling_order_id,V1-0007,c09_storm2_w80,c09_storm2_w80_u100_0006,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.011555,659.4936,651.96,tier2,,,,,0.0
BEN-0008,benign,dangling_order_id,V1-0008,c09_storm2_w80,c09_storm2_w80_u100_0011,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0008,benign,dangling_order_id,V1-0008,c09_storm2_w80,c09_storm2_w80_u100_0011,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0008,benign,dangling_order_id,V1-0008,c09_storm2_w80,c09_storm2_w80_u100_0011,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.034457,558.8056,540.1924,tier2,,,,,0.0
BEN-0008,benign,dangling_order_id,V1-0008,c09_storm2_w80,c09_storm2_w80_u100_0011,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.034457,558.8056,540.1924,tier2,,,,,0.0
BEN-0009,benign,dangling_order_id,V1-0009,c09_storm2_w80,c09_storm2_w80_u100_0016,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0009,benign,dangling_order_id,V1-0009,c09_storm2_w80,c09_storm2_w80_u100_0016,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0009,benign,dangling_order_id,V1-0009,c09_storm2_w80,c09_storm2_w80_u100_0016,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.048306,506.3264,482.9948,tier2,,,,,0.0
BEN-0009,benign,dangling_order_id,V1-0009,c09_storm2_w80,c09_storm2_w80_u100_0016,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.048306,506.3264,482.9948,tier2,,,,,0.0
BEN-0010,benign,dangling_order_id,V1-0010,c09_storm2_w80,c09_storm2_w80_u100_0021,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0010,benign,dangling_order_id,V1-0010,c09_storm2_w80,c09_storm2_w80_u100_0021,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0010,benign,dangling_order_id,V1-0010,c09_storm2_w80,c09_storm2_w80_u100_0021,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.061643,652.9636,615.05,tier2,,,,,0.0
BEN-0010,benign,dangling_order_id,V1-0010,c09_storm2_w80,c09_storm2_w80_u100_0021,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.061643,652.9636,615.05,tier2,,,,,0.0
BEN-0011,benign,dangling_order_id,V1-0011,c09_storm2_w80,c09_storm2_w80_u100_0002,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0011,benign,dangling_order_id,V1-0011,c09_storm2_w80,c09_storm2_w80_u100_0002,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0011,benign,dangling_order_id,V1-0011,c09_storm2_w80,c09_storm2_w80_u100_0002,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.019138,386.2444,378.9912,tier2,,,,,0.0
BEN-0011,benign,dangling_order_id,V1-0011,c09_storm2_w80,c09_storm2_w80_u100_0002,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.019138,386.2444,378.9912,tier2,,,,,0.0
BEN-0012,benign,dangling_order_id,V1-0012,c09_storm2_w80,c09_storm2_w80_u100_0007,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0012,benign,dangling_order_id,V1-0012,c09_storm2_w80,c09_storm2_w80_u100_0007,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0012,benign,dangling_order_id,V1-0012,c09_storm2_w80,c09_storm2_w80_u100_0007,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.048034,1327.8352,1266.9772,tier2,,,,,0.0
BEN-0012,benign,dangling_order_id,V1-0012,c09_storm2_w80,c09_storm2_w80_u100_0007,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.048034,1327.8352,1266.9772,tier2,,,,,0.0
BEN-0013,benign,dangling_order_id,V1-0013,c09_storm2_w80,c09_storm2_w80_u100_0012,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0013,benign,dangling_order_id,V1-0013,c09_storm2_w80,c09_storm2_w80_u100_0012,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0013,benign,dangling_order_id,V1-0013,c09_storm2_w80,c09_storm2_w80_u100_0012,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.033314,830.9292,804.14,tier2,,,,,0.0
BEN-0013,benign,dangling_order_id,V1-0013,c09_storm2_w80,c09_storm2_w80_u100_0012,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.033314,830.9292,804.14,tier2,,,,,0.0
BEN-0014,benign,dangling_order_id,V1-0014,c09_storm2_w80,c09_storm2_w80_u100_0017,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0014,benign,dangling_order_id,V1-0014,c09_storm2_w80,c09_storm2_w80_u100_0017,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0014,benign,dangling_order_id,V1-0014,c09_storm2_w80,c09_storm2_w80_u100_0017,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.043423,660.3504,632.8696,tier2,,,,,0.0
BEN-0014,benign,dangling_order_id,V1-0014,c09_storm2_w80,c09_storm2_w80_u100_0017,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.043423,660.3504,632.8696,tier2,,,,,0.0
BEN-0015,benign,dangling_order_id,V1-0015,c09_storm2_w80,c09_storm2_w80_u100_0022,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0015,benign,dangling_order_id,V1-0015,c09_storm2_w80,c09_storm2_w80_u100_0022,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0015,benign,dangling_order_id,V1-0015,c09_storm2_w80,c09_storm2_w80_u100_0022,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.022512,650.8288,636.5,tier2,,,,,0.0
BEN-0015,benign,dangling_order_id,V1-0015,c09_storm2_w80,c09_storm2_w80_u100_0022,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.022512,650.8288,636.5,tier2,,,,,0.0
BEN-0016,benign,dangling_order_id,V1-0016,c09_storm2_w80,c09_storm2_w80_u100_0003,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0016,benign,dangling_order_id,V1-0016,c09_storm2_w80,c09_storm2_w80_u100_0003,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0016,benign,dangling_order_id,V1-0016,c09_storm2_w80,c09_storm2_w80_u100_0003,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.013056,660.902,652.3844,tier2,,,,,0.0
BEN-0016,benign,dangling_order_id,V1-0016,c09_storm2_w80,c09_storm2_w80_u100_0003,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.013056,660.902,652.3844,tier2,,,,,0.0
BEN-0017,benign,dangling_order_id,V1-0017,c09_storm2_w80,c09_storm2_w80_u100_0008,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0017,benign,dangling_order_id,V1-0017,c09_storm2_w80,c09_storm2_w80_u100_0008,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0017,benign,dangling_order_id,V1-0017,c09_storm2_w80,c09_storm2_w80_u100_0008,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.192543,1216.0452,1019.708,tier2,,,,,0.0
BEN-0017,benign,dangling_order_id,V1-0017,c09_storm2_w80,c09_storm2_w80_u100_0008,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.192543,1216.0452,1019.708,tier2,,,,,0.0
BEN-0018,benign,dangling_order_id,V1-0018,c09_storm2_w80,c09_storm2_w80_u100_0013,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0018,benign,dangling_order_id,V1-0018,c09_storm2_w80,c09_storm2_w80_u100_0013,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0018,benign,dangling_order_id,V1-0018,c09_storm2_w80,c09_storm2_w80_u100_0013,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.004884,675.6472,672.3632,tier2,,,,,0.0
BEN-0018,benign,dangling_order_id,V1-0018,c09_storm2_w80,c09_storm2_w80_u100_0013,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.004884,675.6472,672.3632,tier2,,,,,0.0
