# generated 2026-08-17 03:03:47 +0800 by analysis/DG10_direct_guard_intervals.py (l1-dg10-direct-guard-intervals-1)
# DG10: cluster-bootstrap 95% intervals on the direct-guard headline rates (Table 7), no model in the loop.
# scope: analysis/DG1_direct_guard.csv, reading=canonical, config=G_CERT (schema + feasibility + certificate at tau=0.2).
# estimator: nonparametric cluster bootstrap of a pooled ratio; clusters resampled with replacement, each contributing all its rows; B=20000 replicates, base seed=20260814, 2.5/97.5 percentile.
# estimator code copied from code/scripts/e1_intervals.py (cluster_bootstrap, wilson, linearised_se, cluster_key).
# wilson_*: Wilson score interval on the ROW count (the naive interval that assumes rows are independent).
# deff_width = (cluster CI width / Wilson CI width)^2; deff_lin = (linearised cluster-robust SE / sqrt(p(1-p)/n))^2; deff_boot = (bootstrap SE / sqrt(p(1-p)/n))^2.
# cluster_level=item is one row per cluster here, so it IS the ordinary row bootstrap and is printed as a control on the instance level.
# analysis/DG1_direct_guard.csv sha256 32d8e190b4b0ecb725f2ae3ddcf506dec062e736fb6b0d725a273a3f35293a4f
# code/suite/v0.2/suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# analysis/ladder/rule_anchor.csv sha256 ca31ec0bf9805ef42390e8663257e204da7da4191eb0b2052ad4f0225cb52fc7
# code/scripts/direct_guard_benchmark.py sha256 87ea07524a94f35b869f50e306714b965343c3b50951850a7f5852b451879a4b
# code/scripts/e1_intervals.py sha256 a20dc5fa977abe0c1a664ae962dfbafef05e3c78326ea8ed9643642cb110df5a
metric,metric_label,primary_class,denominator_rule,reading,config,tau,numerator,denominator,point,point_pct,cluster_level,n_clusters,ci_lo,ci_hi,ci_lo_pct,ci_hi_pct,wilson_lo,wilson_hi,wilson_lo_pct,wilson_hi_pct,boot_se,lin_se,srs_se,deff_width,deff_lin,deff_boot,boot_frac_zero,B,seed
v1_refusal_representable,"V1 schema canonical proposal refused, over items carrying one",V1,with_proposal,canonical,G_CERT,0.2,130,130,1.000000,100.0,instance,60,1.000000,1.000000,100.0,100.0,0.971298,1.000000,97.1,100.0,0.000000,0.000000,0.000000,0.00,,,0.0000,20000,20330141
v1_refusal_representable,"V1 schema canonical proposal refused, over items carrying one",V1,with_proposal,canonical,G_CERT,0.2,130,130,1.000000,100.0,item,130,1.000000,1.000000,100.0,100.0,0.971298,1.000000,97.1,100.0,0.000000,0.000000,0.000000,0.00,,,0.0000,20000,20295946
v1_refusal_representable,"V1 schema canonical proposal refused, over items carrying one",V1,with_proposal,canonical,G_CERT,0.2,130,130,1.000000,100.0,instance_family,121,1.000000,1.000000,100.0,100.0,0.971298,1.000000,97.1,100.0,0.000000,0.000000,0.000000,0.00,,,0.0000,20000,20275825
v1_refusal_all_items,"V1 schema canonical proposal refused, over all items of the class",V1,all,canonical,G_CERT,0.2,130,160,0.812500,81.2,instance,60,0.766871,0.863906,76.7,86.4,0.744960,0.865386,74.5,86.5,0.024723,0.024845,0.030857,0.65,0.65,0.64,0.0000,20000,20287808
v1_refusal_all_items,"V1 schema canonical proposal refused, over all items of the class",V1,all,canonical,G_CERT,0.2,130,160,0.812500,81.2,item,160,0.750000,0.868750,75.0,86.9,0.744960,0.865386,74.5,86.5,0.030907,0.030954,0.030857,0.97,1.01,1.00,0.0000,20000,20287757
v1_refusal_all_items,"V1 schema canonical proposal refused, over all items of the class",V1,all,canonical,G_CERT,0.2,130,160,0.812500,81.2,instance_family,151,0.748428,0.870968,74.8,87.1,0.744960,0.865386,74.5,86.5,0.031281,0.031359,0.030857,1.04,1.03,1.03,0.0000,20000,20300188
v2_refusal,V2 constraint canonical proposal refused,V2,all,canonical,G_CERT,0.2,200,200,1.000000,100.0,instance,60,1.000000,1.000000,100.0,100.0,0.981155,1.000000,98.1,100.0,0.000000,0.000000,0.000000,0.00,,,0.0000,20000,20331980
v2_refusal,V2 constraint canonical proposal refused,V2,all,canonical,G_CERT,0.2,200,200,1.000000,100.0,item,200,1.000000,1.000000,100.0,100.0,0.981155,1.000000,98.1,100.0,0.000000,0.000000,0.000000,0.00,,,0.0000,20000,20303052
v2_refusal,V2 constraint canonical proposal refused,V2,all,canonical,G_CERT,0.2,200,200,1.000000,100.0,instance_family,186,1.000000,1.000000,100.0,100.0,0.981155,1.000000,98.1,100.0,0.000000,0.000000,0.000000,0.00,,,0.0000,20000,20289030
v5_refusal_all_items,V5 ambiguity: empty proposal refused (a property of the instance),V5,all,canonical,G_CERT,0.2,7,200,0.035000,3.5,instance,60,0.000000,0.091371,0.0,9.1,0.017056,0.070471,1.7,7.0,0.024818,0.024835,0.012995,2.93,3.65,3.65,0.1305,20000,20355747
v5_refusal_all_items,V5 ambiguity: empty proposal refused (a property of the instance),V5,all,canonical,G_CERT,0.2,7,200,0.035000,3.5,item,200,0.010000,0.065000,1.0,6.5,0.017056,0.070471,1.7,7.0,0.012940,0.013028,0.012995,1.06,1.01,0.99,0.0008,20000,20302727
v5_refusal_all_items,V5 ambiguity: empty proposal refused (a property of the instance),V5,all,canonical,G_CERT,0.2,7,200,0.035000,3.5,instance_family,187,0.010256,0.061224,1.0,6.1,0.017056,0.070471,1.7,7.0,0.012955,0.013061,0.012995,0.91,1.01,0.99,0.0004,20000,20300315
