# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
system,arm,model,config,mode,thinking,scope,items,share_applied_with_certificate,share_applied_uncertified,share_referred_to_human,share_blocked_correctly,share_blocked_falsely,share_execution_failed,share_unhandled,share_model_refused,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,certified_gap_coverage,certified_gap_median,certified_gap_p90,certified_gap_max,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_p90_bh,wwt_original_max_bh,wwt_original_vs_rule_bh,wwt_original_vs_rule_pct
qwen3-14b / UNGUARDED,qwen3-14b,"Qwen3-14B (open, local, BF16)",UNGUARDED,M_constrained,-,oracle_domain,3000,,0.992000,,,,0.008000,,,0.970000,0.428333,0.970000,0.428333,0.970000,1.000000,0.010894,0.090335,6.213546,0.000000,706.4297,567.9288,1566.9268,5243.6480,14.3720,0.020767
qwen3-14b / UNGUARDED,qwen3-14b,"Qwen3-14B (open, local, BF16)",UNGUARDED,M_constrained,-,benign,2400,,0.997500,,,,0.002500,,,,,,,,1.000000,0.010894,0.090335,6.213546,0.000000,699.2320,567.9288,1566.9268,5243.6480,7.1743,0.010367
qwen3-14b / UNGUARDED,qwen3-14b,"Qwen3-14B (open, local, BF16)",UNGUARDED,M_free,-,full_suite,6000,,0.934167,,,,0.065833,,,0.930278,0.010000,0.930278,0.010000,0.603889,1.000000,0.010894,0.069219,0.286652,0.000000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
qwen3-14b / UNGUARDED,qwen3-14b,"Qwen3-14B (open, local, BF16)",UNGUARDED,M_free,-,oracle_domain,3000,,0.938667,,,,0.061333,,,0.933333,0.000000,0.933333,0.000000,0.933333,1.000000,0.010894,0.069219,0.286652,0.000000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
qwen3-14b / UNGUARDED,qwen3-14b,"Qwen3-14B (open, local, BF16)",UNGUARDED,M_free,-,benign,2400,,0.940000,,,,0.060000,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
qwen3-14b / G_FEAS,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_FEAS,M_constrained,-,full_suite,6000,,0.873667,,0.125333,0.001000,,,,0.791111,0.676667,0.666667,0.552222,0.528333,1.000000,0.016342,0.328179,52.035200,0.125333,744.4486,619.2284,1650.8376,5840.1408,52.3910,0.075703
qwen3-14b / G_FEAS,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_FEAS,M_constrained,-,oracle_domain,3000,,0.992000,,0.006000,0.002000,,,,0.970000,0.428333,0.970000,0.428333,0.970000,1.000000,0.010894,0.090335,6.213546,0.006000,706.4297,567.9288,1566.9268,5243.6480,14.3720,0.020767
qwen3-14b / G_FEAS,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_FEAS,M_constrained,-,benign,2400,,0.997500,,,0.002500,,,,,,,,,1.000000,0.010894,0.090335,6.213546,0.000000,699.2320,567.9288,1566.9268,5243.6480,7.1743,0.010367
qwen3-14b / G_FEAS,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_FEAS,M_free,-,full_suite,6000,,0.077000,,0.525833,0.397167,,,,0.123611,0.010000,0.123611,0.010000,0.110278,1.000000,0.012309,0.106119,0.286652,0.525833,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
qwen3-14b / G_FEAS,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_FEAS,M_free,-,oracle_domain,3000,,0.113667,,0.092000,0.794333,,,,0.540000,0.000000,0.540000,0.000000,0.540000,1.000000,0.016342,0.106119,0.286652,0.092000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
