# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
system,arm,model,config,mode,thinking,scope,items,share_applied_with_certificate,share_applied_uncertified,share_referred_to_human,share_blocked_correctly,share_blocked_falsely,share_execution_failed,share_unhandled,share_model_refused,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,certified_gap_coverage,certified_gap_median,certified_gap_p90,certified_gap_max,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_p90_bh,wwt_original_max_bh,wwt_original_vs_rule_bh,wwt_original_vs_rule_pct
glm-4-9b / G_FEAS,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_FEAS,M_free,-,full_suite,2000,,,,0.600000,0.400000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.600000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
glm-4-9b / G_FEAS,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_FEAS,M_free,-,oracle_domain,1000,,,,0.200000,0.800000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.200000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
glm-4-9b / G_FEAS,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_FEAS,M_free,-,benign,800,,,,,1.000000,,,,,,,,,,,,,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
glm-4-9b / G_CERT,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_CERT,M_constrained,-,full_suite,2000,0.713500,,,0.254500,0.032000,,,,0.575833,0.554167,0.480000,0.458333,0.351667,1.000000,0.010113,0.065639,0.196534,0.968000,696.2698,573.4680,1566.9268,3040.0112,4.2121,0.006086
glm-4-9b / G_CERT,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_CERT,M_constrained,-,oracle_domain,1000,0.897000,,,0.039000,0.064000,,,,0.805000,0.695000,0.805000,0.695000,0.805000,1.000000,0.010113,0.065639,0.192543,0.936000,694.0034,567.9288,1566.9268,2994.4040,1.9458,0.002812
glm-4-9b / G_CERT,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_CERT,M_constrained,-,benign,800,0.920000,,,,0.080000,,,,,,,,,1.000000,0.009282,0.064365,0.192543,0.920000,682.7344,567.9288,1566.9268,2994.4040,-9.3233,-0.013472
glm-4-9b / G_CERT,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_CERT,M_free,-,full_suite,2000,,,,0.600000,0.400000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.600000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
glm-4-9b / G_CERT,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_CERT,M_free,-,oracle_domain,1000,,,,0.200000,0.800000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.200000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
glm-4-9b / G_CERT,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",G_CERT,M_free,-,benign,800,,,,,1.000000,,,,,,,,,,,,,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
openai / UNGUARDED,openai,"GPT-5.4-mini (closed, budget tier)",UNGUARDED,M_constrained,-,full_suite,4000,,0.877000,,,,0.123000,,,0.803333,0.743750,0.647917,0.588333,0.537917,1.000000,0.013713,0.280730,78.273200,0.000000,1228.5391,619.2284,1581.0360,1000481.2231,536.4814,0.775198
openai / UNGUARDED,openai,"GPT-5.4-mini (closed, budget tier)",UNGUARDED,M_constrained,-,oracle_domain,2000,,0.962500,,,,0.037500,,,0.862500,0.650000,0.862500,0.650000,0.862500,1.000000,0.010790,0.069219,1.221099,0.000000,692.4273,567.9288,1566.9268,2859.5448,0.3696,0.000534
openai / UNGUARDED,openai,"GPT-5.4-mini (closed, budget tier)",UNGUARDED,M_constrained,-,benign,1600,,0.987500,,,,0.012500,,,,,,,,1.000000,0.010113,0.068556,0.286652,0.000000,681.2468,567.9288,1566.9268,2859.5448,-10.8109,-0.015621
openai / UNGUARDED,openai,"GPT-5.4-mini (closed, budget tier)",UNGUARDED,M_free,-,full_suite,4000,,0.999500,,,,0.000500,,,0.999167,0.005000,0.998333,0.004167,0.650833,1.000000,0.010113,0.069219,0.286652,0.000000,692.0588,567.9288,1566.9268,2859.5096,0.0011,0.000002
openai / UNGUARDED,openai,"GPT-5.4-mini (closed, budget tier)",UNGUARDED,M_free,-,oracle_domain,2000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.010113,0.069219,0.286652,0.000000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
openai / UNGUARDED,openai,"GPT-5.4-mini (closed, budget tier)",UNGUARDED,M_free,-,benign,1600,,1.000000,,,,,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
openai / G_FEAS,openai,"GPT-5.4-mini (closed, budget tier)",G_FEAS,M_constrained,-,full_suite,4000,,0.859000,,0.136000,0.005000,,,,0.773333,0.713750,0.617917,0.558333,0.507917,1.000000,0.013579,0.286652,78.273200,0.136000,724.9418,619.2284,1567.3780,3634.6472,32.8841,0.047516
openai / G_FEAS,openai,"GPT-5.4-mini (closed, budget tier)",G_FEAS,M_constrained,-,oracle_domain,2000,,0.962500,,0.027500,0.010000,,,,0.862500,0.650000,0.862500,0.650000,0.862500,1.000000,0.010790,0.069219,1.221099,0.027500,692.4273,567.9288,1566.9268,2859.5448,0.3696,0.000534
openai / G_FEAS,openai,"GPT-5.4-mini (closed, budget tier)",G_FEAS,M_constrained,-,benign,1600,,0.987500,,,0.012500,,,,,,,,,1.000000,0.010113,0.068556,0.286652,0.000000,681.2468,567.9288,1566.9268,2859.5448,-10.8109,-0.015621
openai / G_FEAS,openai,"GPT-5.4-mini (closed, budget tier)",G_FEAS,M_free,-,full_suite,4000,,0.048750,,0.553250,0.398000,,,,0.077917,0.005000,0.077083,0.004167,0.064167,1.000000,0.017038,0.106119,0.286652,0.553250,692.0588,567.9288,1566.9268,2859.5096,0.0011,0.000002
openai / G_FEAS,openai,"GPT-5.4-mini (closed, budget tier)",G_FEAS,M_free,-,oracle_domain,2000,,0.063000,,0.141000,0.796000,,,,0.295000,0.000000,0.295000,0.000000,0.295000,1.000000,0.017038,0.106119,0.286652,0.141000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
openai / G_FEAS,openai,"GPT-5.4-mini (closed, budget tier)",G_FEAS,M_free,-,benign,1600,,0.005000,,,0.995000,,,,,,,,,1.000000,0.003614,0.055963,0.055963,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
openai / G_CERT,openai,"GPT-5.4-mini (closed, budget tier)",G_CERT,M_constrained,-,full_suite,4000,0.749500,,,0.235000,0.015500,,,,0.608333,0.551250,0.457917,0.400833,0.351667,1.000000,0.010113,0.065639,0.196534,0.984500,691.6637,567.9288,1566.9268,2859.5448,-0.3940,-0.000569
openai / G_CERT,openai,"GPT-5.4-mini (closed, budget tier)",G_CERT,M_constrained,-,oracle_domain,2000,0.933500,,,0.035500,0.031000,,,,0.822500,0.622500,0.822500,0.622500,0.822500,1.000000,0.010113,0.065260,0.192543,0.969000,691.6289,567.9288,1566.9268,2859.5448,-0.4288,-0.000620
openai / G_CERT,openai,"GPT-5.4-mini (closed, budget tier)",G_CERT,M_constrained,-,benign,1600,0.961250,,,,0.038750,,,,,,,,,1.000000,0.008896,0.062286,0.192543,0.961250,681.2541,567.9288,1566.9268,2859.5448,-10.8036,-0.015611
openai / G_CERT,openai,"GPT-5.4-mini (closed, budget tier)",G_CERT,M_free,-,full_suite,4000,0.046000,,,0.556000,0.398000,,,,0.073333,0.005000,0.072500,0.004167,0.059583,1.000000,0.016342,0.061643,0.148326,0.602000,692.0588,567.9288,1566.9268,2859.5096,0.0011,0.000002
openai / G_CERT,openai,"GPT-5.4-mini (closed, budget tier)",G_CERT,M_free,-,oracle_domain,2000,0.059000,,,0.145000,0.796000,,,,0.275000,0.000000,0.275000,0.000000,0.275000,1.000000,0.016342,0.061643,0.123812,0.204000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
openai / G_CERT,openai,"GPT-5.4-mini (closed, budget tier)",G_CERT,M_free,-,benign,1600,0.005000,,,,0.995000,,,,,,,,,1.000000,0.003614,0.055963,0.055963,0.005000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_constrained,non_think,full_suite,4000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,0.650000,1.000000,0.010113,0.069219,0.286652,0.000000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_constrained,non_think,oracle_domain,2000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.010113,0.069219,0.286652,0.000000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_constrained,non_think,benign,1600,,1.000000,,,,,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_constrained,think_high,full_suite,4000,,0.980750,,,,0.019250,,,0.972917,0.005000,0.972917,0.005000,0.628750,1.000000,0.010113,0.069219,0.286652,0.000000,692.0581,567.9288,1566.9268,2859.5096,0.0004,0.000001
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_constrained,think_high,oracle_domain,2000,,0.978000,,,,0.022000,,,0.920000,0.000000,0.920000,0.000000,0.920000,1.000000,0.010113,0.069219,0.286652,0.000000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_constrained,think_high,benign,1600,,0.992500,,,,0.007500,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_free,non_think,full_suite,4000,,1.000000,,,,,,,1.000000,0.003333,1.000000,0.003333,0.650000,1.000000,0.010113,0.069219,0.286652,0.000000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_free,non_think,oracle_domain,2000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.010113,0.069219,0.286652,0.000000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_free,non_think,benign,1600,,1.000000,,,,,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_free,think_high,full_suite,4000,,0.991750,,,,0.008250,,,0.988333,0.004167,0.988333,0.004167,0.639583,1.000000,0.010113,0.069219,0.286652,0.000000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_free,think_high,oracle_domain,2000,,0.988000,,,,0.012000,,,0.952500,0.000000,0.952500,0.000000,0.952500,1.000000,0.010113,0.069219,0.286652,0.000000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / UNGUARDED,deepseek,"DeepSeek V4-Pro (open weights, hosted)",UNGUARDED,M_free,think_high,benign,1600,,0.996875,,,,0.003125,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_constrained,non_think,full_suite,4000,,0.192250,,0.419500,0.388250,,,,0.300833,0.000000,0.300833,0.000000,0.262917,1.000000,0.010894,0.069219,0.286652,0.419500,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_constrained,non_think,oracle_domain,2000,,0.217500,,0.006000,0.776500,,,,0.970000,0.000000,0.970000,0.000000,0.970000,1.000000,0.012309,0.090335,0.286652,0.006000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_constrained,non_think,benign,1600,,0.029375,,,0.970625,,,,,,,,,1.000000,0.010894,0.106119,0.226611,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_constrained,think_high,full_suite,4000,,0.145000,,0.457250,0.397750,,,,0.237917,0.005000,0.237917,0.005000,0.221667,1.000000,0.012309,0.069219,0.286652,0.457250,692.0581,567.9288,1566.9268,2859.5096,0.0004,0.000001
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_constrained,think_high,oracle_domain,2000,,0.165500,,0.039000,0.795500,,,,0.805000,0.000000,0.805000,0.000000,0.805000,1.000000,0.016342,0.090335,0.286652,0.039000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_constrained,think_high,benign,1600,,0.005625,,,0.994375,,,,,,,,,1.000000,0.017173,0.123812,0.123812,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_free,non_think,full_suite,4000,,0.172500,,0.436500,0.391000,,,,0.272500,0.003333,0.272500,0.003333,0.244583,1.000000,0.010894,0.069219,0.286652,0.436500,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_free,non_think,oracle_domain,2000,,0.210000,,0.008000,0.782000,,,,0.960000,0.000000,0.960000,0.000000,0.960000,1.000000,0.012309,0.090335,0.286652,0.008000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_free,non_think,benign,1600,,0.022500,,,0.977500,,,,,,,,,1.000000,0.012309,0.123812,0.226611,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_free,think_high,full_suite,4000,,0.143750,,0.458250,0.398000,,,,0.236250,0.004167,0.236250,0.004167,0.215833,1.000000,0.010894,0.065639,0.286652,0.458250,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_free,think_high,oracle_domain,2000,,0.152000,,0.052000,0.796000,,,,0.740000,0.000000,0.740000,0.000000,0.740000,1.000000,0.012309,0.069219,0.286652,0.052000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / G_FEAS,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_FEAS,M_free,think_high,benign,1600,,0.005000,,,0.995000,,,,,,,,,1.000000,0.001454,0.061643,0.061643,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_constrained,non_think,full_suite,4000,0.186500,,,0.424750,0.388750,,,,0.292083,0.000000,0.292083,0.000000,0.254167,1.000000,0.010113,0.061643,0.123812,0.611250,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_constrained,non_think,oracle_domain,2000,0.209500,,,0.013000,0.777500,,,,0.935000,0.000000,0.935000,0.000000,0.935000,1.000000,0.010894,0.065639,0.123812,0.222500,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_constrained,non_think,benign,1600,0.028125,,,,0.971875,,,,,,,,,1.000000,0.010894,0.090335,0.123812,0.028125,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_constrained,think_high,full_suite,4000,0.140750,,,0.461500,0.397750,,,,0.230833,0.005000,0.230833,0.005000,0.214583,1.000000,0.010894,0.061643,0.123812,0.602250,692.0581,567.9288,1566.9268,2859.5096,0.0004,0.000001
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_constrained,think_high,oracle_domain,2000,0.159000,,,0.045500,0.795500,,,,0.772500,0.000000,0.772500,0.000000,0.772500,1.000000,0.012309,0.065639,0.123812,0.204500,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_constrained,think_high,benign,1600,0.005625,,,,0.994375,,,,,,,,,1.000000,0.017173,0.123812,0.123812,0.005625,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_free,non_think,full_suite,4000,0.167500,,,0.441000,0.391500,,,,0.265000,0.003333,0.265000,0.003333,0.237083,1.000000,0.010894,0.061643,0.123812,0.608500,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_free,non_think,oracle_domain,2000,0.202000,,,0.015000,0.783000,,,,0.925000,0.000000,0.925000,0.000000,0.925000,1.000000,0.012309,0.065639,0.123812,0.217000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_free,non_think,benign,1600,0.021250,,,,0.978750,,,,,,,,,1.000000,0.012309,0.090335,0.123812,0.021250,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_free,think_high,full_suite,4000,0.140000,,,0.462000,0.398000,,,,0.230000,0.004167,0.230000,0.004167,0.209583,1.000000,0.010894,0.061643,0.123812,0.602000,692.0577,567.9288,1566.9268,2859.5096,0.0000,0.000000
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_free,think_high,oracle_domain,2000,0.146500,,,0.057500,0.796000,,,,0.712500,0.000000,0.712500,0.000000,0.712500,1.000000,0.012309,0.061643,0.123812,0.204000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
deepseek / G_CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",G_CERT,M_free,think_high,benign,1600,0.005000,,,,0.995000,,,,,,,,,1.000000,0.001454,0.061643,0.061643,0.005000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
sonnet / UNGUARDED,sonnet,Claude Sonnet 5 (closed),UNGUARDED,M_constrained,disabled,full_suite,4000,,0.925500,,,,0.074500,,,0.883750,0.622083,0.680417,0.418750,0.604583,1.000000,0.016342,0.286652,172.204800,0.000000,735.3331,619.2284,1617.5416,3987.3928,43.2754,0.062532
sonnet / UNGUARDED,sonnet,Claude Sonnet 5 (closed),UNGUARDED,M_constrained,disabled,oracle_domain,2000,,0.990500,,,,0.009500,,,1.000000,0.150000,1.000000,0.150000,1.000000,1.000000,0.010894,0.069219,0.286652,0.000000,691.4520,567.9288,1566.9268,2859.5096,-0.6057,-0.000875
sonnet / UNGUARDED,sonnet,Claude Sonnet 5 (closed),UNGUARDED,M_constrained,disabled,benign,1600,,0.988125,,,,0.011875,,,,,,,,1.000000,0.010113,0.068275,0.286652,0.000000,681.2449,567.9288,1566.9268,2859.5096,-10.8127,-0.015624
sonnet / UNGUARDED,sonnet,Claude Sonnet 5 (closed),UNGUARDED,M_free,disabled,full_suite,4000,,0.998750,,,,0.001250,,,0.998333,0.006667,0.998333,0.006667,0.649167,1.000000,0.010113,0.069219,0.286652,0.000000,692.0557,567.9288,1566.9268,2859.5096,-0.0020,-0.000003
sonnet / UNGUARDED,sonnet,Claude Sonnet 5 (closed),UNGUARDED,M_free,disabled,oracle_domain,2000,,0.999000,,,,0.001000,,,0.997500,0.000000,0.997500,0.000000,0.997500,1.000000,0.010113,0.069219,0.286652,0.000000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
sonnet / UNGUARDED,sonnet,Claude Sonnet 5 (closed),UNGUARDED,M_free,disabled,benign,1600,,0.999375,,,,0.000625,,,,,,,,1.000000,0.010113,0.069219,0.286652,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
sonnet / G_FEAS,sonnet,Claude Sonnet 5 (closed),G_FEAS,M_constrained,disabled,full_suite,4000,,0.910500,,0.084750,0.004750,,,,0.858750,0.597083,0.655417,0.393750,0.579583,1.000000,0.016342,0.286652,172.204800,0.084750,726.5201,619.2284,1569.2312,3987.3928,34.4624,0.049797
sonnet / G_FEAS,sonnet,Claude Sonnet 5 (closed),G_FEAS,M_constrained,disabled,oracle_domain,2000,,0.990500,,,0.009500,,,,1.000000,0.150000,1.000000,0.150000,1.000000,1.000000,0.010894,0.069219,0.286652,0.000000,691.4520,567.9288,1566.9268,2859.5096,-0.6057,-0.000875
sonnet / G_FEAS,sonnet,Claude Sonnet 5 (closed),G_FEAS,M_constrained,disabled,benign,1600,,0.988125,,,0.011875,,,,,,,,,1.000000,0.010113,0.068275,0.286652,0.000000,681.2449,567.9288,1566.9268,2859.5096,-10.8127,-0.015624
sonnet / G_FEAS,sonnet,Claude Sonnet 5 (closed),G_FEAS,M_free,disabled,full_suite,4000,,0.124250,,0.475750,0.400000,,,,0.207083,0.005000,0.207083,0.005000,0.194167,1.000000,0.010894,0.069219,0.286652,0.475750,692.0557,567.9288,1566.9268,2859.5096,-0.0020,-0.000003
sonnet / G_FEAS,sonnet,Claude Sonnet 5 (closed),G_FEAS,M_free,disabled,oracle_domain,2000,,0.163000,,0.037000,0.800000,,,,0.815000,0.000000,0.815000,0.000000,0.815000,1.000000,0.016342,0.090335,0.286652,0.037000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
sonnet / G_FEAS,sonnet,Claude Sonnet 5 (closed),G_FEAS,M_free,disabled,benign,1600,,,,,1.000000,,,,,,,,,,,,,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
sonnet / G_CERT,sonnet,Claude Sonnet 5 (closed),G_CERT,M_constrained,disabled,full_suite,4000,0.793750,,,0.191000,0.015250,,,,0.681667,0.428333,0.484167,0.230833,0.410833,1.000000,0.010113,0.065639,0.196534,0.984750,691.5425,567.9288,1566.9268,2859.5096,-0.5152,-0.000744
sonnet / G_CERT,sonnet,Claude Sonnet 5 (closed),G_CERT,M_constrained,disabled,oracle_domain,2000,0.962500,,,0.007000,0.030500,,,,0.965000,0.150000,0.965000,0.150000,0.965000,1.000000,0.010113,0.065639,0.192543,0.969500,691.4588,567.9288,1566.9268,2859.5096,-0.5989,-0.000865
sonnet / G_CERT,sonnet,Claude Sonnet 5 (closed),G_CERT,M_constrained,disabled,benign,1600,0.961875,,,,0.038125,,,,,,,,,1.000000,0.010113,0.065639,0.192543,0.961875,681.2534,567.9288,1566.9268,2859.5096,-10.8043,-0.015612
sonnet / G_CERT,sonnet,Claude Sonnet 5 (closed),G_CERT,M_free,disabled,full_suite,4000,0.120250,,,0.479750,0.400000,,,,0.200417,0.005000,0.200417,0.005000,0.187500,1.000000,0.010894,0.065639,0.123812,0.600000,692.0557,567.9288,1566.9268,2859.5096,-0.0020,-0.000003
sonnet / G_CERT,sonnet,Claude Sonnet 5 (closed),G_CERT,M_free,disabled,oracle_domain,2000,0.156000,,,0.044000,0.800000,,,,0.780000,0.000000,0.780000,0.000000,0.780000,1.000000,0.012309,0.065639,0.123812,0.200000,692.3810,567.9288,1566.9268,2859.5096,0.3233,0.000467
sonnet / G_CERT,sonnet,Claude Sonnet 5 (closed),G_CERT,M_free,disabled,benign,1600,,,,,1.000000,,,,,,,,,,,,,0.000000,682.6878,567.9288,1566.9268,2859.5096,-9.3699,-0.013539
opus / UNGUARDED,opus,"Claude Opus 5 (closed, flagship)",UNGUARDED,M_constrained,default,full_suite,4000,,0.985250,,,,0.014250,,0.000500,0.984167,0.590417,0.772083,0.378333,0.688750,1.000000,0.016342,0.280730,172.204800,0.000000,734.6556,619.2284,1616.5352,3987.3928,42.5979,0.061552
opus / UNGUARDED,opus,"Claude Opus 5 (closed, flagship)",UNGUARDED,M_constrained,default,oracle_domain,2000,,0.989500,,,,0.010500,,,1.000000,0.005000,1.000000,0.005000,1.000000,1.000000,0.010894,0.069219,0.286652,0.000000,691.2376,567.9288,1566.9268,2859.5096,-0.8200,-0.001185
