# DG1: the direct proposal-level guard benchmark (no model in the loop)
# generator: code/scripts/direct_guard_benchmark.py (l1-direct-guard-1)
# sources:
#   code/suite/v0.2/suite.jsonl              sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
#   code/schema/adjustments.schema.json      sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
#   code/l1guard/ (guard.py, config.py, findings.py, lb2.py, verdict.py)
#   analysis/ladder/ladder_anchors.json      (self-check target, ORACLE+G_CERT)
#   analysis/T1_e1_main.csv                  (LLM-mediated comparison)
# canonical proposal per class: benign=gold_ops, V1=literal_ops, V2=literal_ops, V3=gold_ops, V4=trap_ops, V5=gold_ops, V6=forbidden_ops
#   V5 has no representable proposal (gold/literal/trap/forbidden all empty, by construction)
# guard: lb_tier=tier2, tau=0.20, rule=atc, seed=0; three published configs
# run: 5522 guard calls, 4 worker(s), cores 0-3, 159.56 s wall
item_id,subclass,twin_id,stratum,terminal,blocking_codes,gap,n_ops,op_names,standing_frozen_set_size,adapter_executes,referee_feasible,adapter_error,reordered_terminal,reordered_blocking_codes
BEN-0250,freeze_shift_contradiction,V2-0090,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0251,freeze_shift_contradiction,V2-0091,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0252,freeze_shift_contradiction,V2-0092,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0253,freeze_shift_contradiction,V2-0093,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0254,freeze_shift_contradiction,V2-0094,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0255,freeze_shift_contradiction,V2-0095,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0256,freeze_shift_contradiction,V2-0096,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0257,freeze_shift_contradiction,V2-0097,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0258,freeze_shift_contradiction,V2-0098,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0259,freeze_shift_contradiction,V2-0099,c10_replay_400,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
